ngram;time_slot;df;idft;df_idft
kppn harga at;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
at cost biar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cost biar anak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
amp kpk kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anak indonesia kuat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kpk kelola kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
markup awas bpkp;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
anggar buka markup;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
nyata makan gizi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
perintah anggar buka;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
buka markup awas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bukti nyata makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis perintah;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
gratis perintah anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bersih anggar kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bpkp kpk jamin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
harga pasar bpkp;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
anggar kelola kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis bersih anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kppn sesuai harga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
pasar bpkp kpk;2025-08-09 13:00;3;2.3978952727983707;7.193685818395112
kpk jamin transparansi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola kppn sesuai;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ngerti sayang anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
deh akuin kalo;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kalo emg gak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
butuh anggar jgn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
biar daper validasi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
sumpah mending mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anggar dibenerin butuh;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cuman ngedepanin ego;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
emg gak jalan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gak jalan gakpp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mending mbg udahin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
daper validasi kasihan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
trus biar daper;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
jalan gakpp ngerti;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
akuin kalo emg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kes cuman ngedepanin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gakpp ngerti sayang;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dibenerin butuh anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
sayang anggar dibenerin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anggar jgn kes;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
udahin deh akuin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
jgn kes cuman;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ego trus biar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg udahin deh;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ngedepanin ego trus;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg dana pakai;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
dapet makan gizi;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
sistem transparan kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dana pakai sistem;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
pakai sistem transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gampang dapet makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
berkat mbg dana;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg hadir dana;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis impi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
awas ketat bpkp;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
dana transparan harga;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
hadir dana transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ketat bpkp amp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
impi mbg hadir;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis impi mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kapolsek adimulyo iptu;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
launching makan gizi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
smp n adimulyo;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
harap bangsa desa;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mugiyono serta kanit;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
adimulyo iptu mugiyono;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bangsa desa candiwulan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
yayasan girli ummami;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
camat adimulyo bawah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
binmas polsek adimulyo;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis sppg dapur;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kanit binmas polsek;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
adimulyo hadir giat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ceria smp n;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis sppg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
