time_slot;topic_id;topic_terms;max_dfidf;term_count
2025-11-09 07:00;2025-11-09 07:00_T1;dukung program makan;7.548278596129519;1
2025-11-09 07:00;2025-11-09 07:00_T2;baik indonesia maju;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T3;investasi baik indonesia;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T4;indonesia maju cemerlang;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T5;generasi emas indonesia;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T6;langkah cepat bangun;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T7;bangun generasi emas;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T8;gizi gratis langkah;2.803360380906535;1
2025-11-09 07:00;2025-11-09 07:00_T9;gratis langkah cepat, gratis investasi baik;2.803360380906535;2
2025-11-09 08:00;2025-11-09 08:00_T1;anak chief w;5.60672076181307;1
2025-11-09 08:00;2025-11-09 08:00_T2;polri luncur program;2.803360380906535;1
2025-11-09 08:00;2025-11-09 08:00_T3;bantu wujud bijak;2.803360380906535;1
2025-11-09 08:00;2025-11-09 08:00_T4;pangan tunjuk bantu, pangan inisiatif makan;2.803360380906535;2
2025-11-09 08:00;2025-11-09 08:00_T5;tunjuk bantu wujud;2.803360380906535;1
2025-11-09 08:00;2025-11-09 08:00_T6;program program strategis, program strategis dukung;2.803360380906535;2
2025-11-09 08:00;2025-11-09 08:00_T7;bijak swasembada pangan;2.803360380906535;1
2025-11-09 08:00;2025-11-09 08:00_T8;dukung tahan pangan;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T1;gerak ekonomi lokal;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T2;libat juta tani;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T3;gembira program mbg;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T4;tani nelayan umkm;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T5;program mbg jangkau;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T6;juta terima cipta;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T7;jangkau juta terima;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T8;mbg jangkau juta;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T9;umkm program gera;2.803360380906535;1
2025-11-09 09:00;2025-11-09 09:00_T10;nelayan umkm program;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T1;amp sarang kkn;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T2;tambah beban apbn;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T3;langgar konstitusi amp;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T4;sarang kkn boros;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T5;sasar langgar konstitusi;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T6;uu sumber amp;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T7;uang pajak rakyat;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T8;prioritas rencana bangun;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T9;henti presiden sasar;2.803360380906535;1
2025-11-09 13:00;2025-11-09 13:00_T10;kkn boros uang;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T1;anggar didik mbg;5.60672076181307;1
2025-11-09 15:00;2025-11-09 15:00_T2;racun berita ratus;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T3;prabowo program mbg;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T4;aku dunia iya;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T5;mbg aku dunia;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T6;program mbg aku;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T7;berita ratus siswa;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T8;iya aku racun;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T9;ratus siswa racun;2.803360380906535;1
2025-11-09 15:00;2025-11-09 15:00_T10;dunia iya aku;2.803360380906535;1
2025-11-09 20:00;2025-11-09 20:00_T1;tambah belanja konsumtif;2.803360380906535;1
2025-11-09 20:00;2025-11-09 20:00_T2;mbg program populis, mbg tambah belanja;2.803360380906535;2
2025-11-09 20:00;2025-11-09 20:00_T3;tiada mbg program;2.803360380906535;1
2025-11-09 20:00;2025-11-09 20:00_T4;wajib tiada mbg;2.803360380906535;1
2025-11-09 20:00;2025-11-09 20:00_T5;apbn mbg tambah, apbn program mbg;2.803360380906535;2
2025-11-09 20:00;2025-11-09 20:00_T6;gizi gratis wajib;2.803360380906535;1
2025-11-09 20:00;2025-11-09 20:00_T7;bakar duit ga;2.803360380906535;1
2025-11-09 20:00;2025-11-09 20:00_T8;populis produktif bakar;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T1;investasi bangsa generasi;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T2;bangsa generasi emas;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T3;gratis investasi bangsa;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T4;makan investasi generasi;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T5;emas asupan sehat;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T6;gizi gratis makan;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T7;september komando distrik;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T8;sekolah hamil susu;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T9;asupan sehat anak;2.803360380906535;1
2025-11-09 05:00;2025-11-09 05:00_T10;sehat anak sekolah;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T1;manfaat makan gizi;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T2;hasanto babinsa desa;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T3;desa puntukrejo laksana;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T4;babinsa desa puntukrejo;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T5;program b hamil;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T6;laksana komsos muryanto;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T7;depan program b;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T8;rencana depan program;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T9;terima manfaat makan;2.803360380906535;1
2025-11-09 14:00;2025-11-09 14:00_T10;koordinasi rencana depan;2.803360380906535;1
2025-11-09 04:00;2025-11-09 04:00_T1;gratis cipta generasi, gratis generasi bangsa;2.803360380906535;2
2025-11-09 04:00;2025-11-09 04:00_T2;cipta generasi sehat;2.803360380906535;1
2025-11-09 04:00;2025-11-09 04:00_T3;gizi gratis cipta, gizi gratis generasi;2.803360380906535;2
2025-11-09 04:00;2025-11-09 04:00_T4;dpr efisiensi anggar;2.803360380906535;1
2025-11-09 04:00;2025-11-09 04:00_T5;ga audit bpk;2.803360380906535;1
2025-11-09 04:00;2025-11-09 04:00_T6;generasi bangsa cerdas;2.803360380906535;1
2025-11-09 04:00;2025-11-09 04:00_T7;alir danantara kelola;2.803360380906535;1
2025-11-09 04:00;2025-11-09 04:00_T8;t alir danantara;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T1;wagub jih program;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T2;jih program makan;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T3;awas mbg wagub;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T4;mbg wagub jih;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T5;makan gizi makan;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T6;minggu menu j;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T7;ketat awas mbg;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T8;gizi makan racun;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T9;menu j guys;2.803360380906535;1
2025-11-09 18:00;2025-11-09 18:00_T10;gratis minggu menu;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T1;ngotot lanjut presiden;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T2;lanjut presiden lbh;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T3;mbg ngotot lanjut;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T4;program mbg biaya;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T5;jamin pulih sehat;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T6;biaya jamin pulih;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T7;sehat umur hidup;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T8;korban racun program;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T9;hidup ganti rugi;2.803360380906535;1
2025-11-09 22:00;2025-11-09 22:00_T10;racun program mbg;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T1;hadir launching dapur;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T2;dapur mbg desa;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T3;belitang iii hadir;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T4;iii hadir launching;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T5;launching dapur mbg;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T6;polsek belitang iii;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T7;mbg desa dadirejo;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T8;wajar batal program;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T9;gratis dua gak;2.803360380906535;1
2025-11-09 19:00;2025-11-09 19:00_T10;sekolah gratis dua;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T1;ternak laku umkm;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T2;gratis sehat generasi;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T3;sehat generasi muda;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T4;gerak roda ekonomi;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T5;laku umkm pangan;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T6;ekonomi lokal daya;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T7;tani ternak laku;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T8;roda ekonomi lokal;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T9;muda gerak roda;2.803360380906535;1
2025-11-09 02:00;2025-11-09 02:00_T10;gizi gratis sehat;2.803360380906535;1
2025-11-09 21:00;2025-11-09 21:00_T1;bpjh sertifikasi halal;2.803360380906535;1
