time_slot;ngram;n;df_idft
2025-08-09;n k;2;0.007194244604316547
2025-08-09;y e;2;0.007194244604316547
2025-08-09;f  ;2;0.007194244604316547
2025-08-09;l g;2;0.007194244604316547
2025-08-09;e w;2;0.007194244604316547
2025-08-09;d  ;2;0.007194244604316547
2025-08-09;f o;2;0.007194244604316547
2025-08-09;o o;2;0.007194244604316547
2025-08-09;p j;2;0.007194244604316547
2025-08-09;  f;2;0.014388489208633094
2025-08-09;p h;2;0.007194244604316547
2025-08-09;j p;2;0.007194244604316547
2025-08-09;y  ;2;0.007194244604316547
2025-08-09;l r;2;0.007194244604316547
2025-08-09;u b;2;0.007194244604316547
2025-08-09;r y;2;0.007194244604316547
2025-08-09;f i;2;0.007194244604316547
2025-08-09;r p;2;0.007194244604316547
2025-08-09;d d;2;0.007194244604316547
2025-08-09;l d;2;0.007194244604316547
2025-08-09;k k;2;0.007194244604316547
2025-08-09;o k;2;0.007194244604316547
2025-08-09;k r;2;0.007194244604316547
2025-11-09;l a;2;0.5107913669064749
2025-11-09;t i;2;0.5899280575539568
2025-11-09;i s;2;0.5683453237410072
2025-11-09;k o;2;0.34532374100719426
2025-11-09;g i;2;0.5611510791366906
2025-11-09;e h;2;0.10071942446043165
2025-11-09;k a;2;0.7266187050359713
2025-11-09;z i;2;0.45323741007194246
2025-11-09;i k;2;0.2302158273381295
2025-11-09;a h;2;0.45323741007194246
2025-11-09;l  ;2;0.23741007194244604
2025-11-09;e n;2;0.4748201438848921
2025-11-09;t  ;2;0.5179856115107914
2025-11-09;s t;2;0.2733812949640288
2025-11-09;a w;2;0.05755395683453238
2025-11-09;e r;2;0.4676258992805755
2025-11-09;r a;2;0.7410071942446043
2025-11-09;j u;2;0.10071942446043165
2025-11-09;r t;2;0.050359712230215826
2025-11-09;d i;2;0.2158273381294964
2025-11-09;  p;2;0.60431654676259
2025-11-09;p e;2;0.2446043165467626
2025-11-09;m i;2;0.22302158273381295
2025-11-09;a k;2;0.7050359712230215
2025-11-09;u t;2;0.17266187050359713
2025-11-09;h  ;2;0.48201438848920863
2025-11-09;a s;2;0.5251798561151079
2025-11-09;i  ;2;0.7841726618705036
2025-11-09;i f;2;0.03597122302158273
2025-11-09;  h;2;0.23741007194244604
2025-11-09;i n;2;0.5107913669064749
2025-11-09;w a;2;0.2589928057553957
2025-11-09;i z;2;0.45323741007194246
2025-11-09;m e;2;0.2446043165467626
2025-11-09;i t;2;0.2158273381294964
2025-11-09;  m;2;0.935251798561151
2025-11-09;i g;2;0.02158273381294964
2025-11-09;k u;2;0.22302158273381295
2025-11-09;t u;2;0.3381294964028777
2025-11-09;g a;2;0.4172661870503597
2025-11-09;a  ;2;0.6834532374100719
2025-11-09;  a;2;0.5323741007194245
2025-11-09;n j;2;0.1079136690647482
2025-11-09;h a;2;0.35251798561151076
2025-11-09;n e;2;0.2517985611510791
2025-11-09;t m;2;0.02877697841726619
2025-11-09;s  ;2;0.5971223021582733
2025-11-09;i r;2;0.1079136690647482
2025-11-09;  l;2;0.35251798561151076
2025-11-09;  g;2;0.6690647482014388
2025-11-09;a r;2;0.5035971223021583
2025-11-09;j a;2;0.30935251798561153
2025-11-09;g e;2;0.18705035971223022
2025-11-09;a n;2;0.8489208633093526
2025-11-09;a d;2;0.15827338129496402
2025-11-09;  d;2;0.4172661870503597
2025-11-09;r  ;2;0.5323741007194245
2025-11-09;m u;2;0.16546762589928057
2025-11-09;a l;2;0.37410071942446044
2025-11-09;a g;2;0.11510791366906475
2025-11-09;  s;2;0.5467625899280576
2025-11-09;t a;2;0.48201438848920863
2025-11-09;g r;2;0.5179856115107914
2025-11-09;s e;2;0.4028776978417266
2025-11-09;n t;2;0.2733812949640288
2025-11-09;o m;2;0.1510791366906475
2025-11-09;r i;2;0.38848920863309355
2025-11-09;a t;2;0.7266187050359713
2025-11-09;u a;2;0.15827338129496402
2025-11-09;d a;2;0.38848920863309355
2025-11-09;  k;2;0.4748201438848921
2025-11-09;n  ;2;0.7410071942446043
2025-11-09;  j;2;0.2014388489208633
2025-11-09;u  ;2;0.3597122302158273
